FREQ,Frequenza,REG_VEHI_AREA,Territorio di immatricolazione automezzo,DATA_TYPE,Indicatore,REG_LOADING,Territorio di carico,REG_UNLOADING,Territorio di scarico,GOODS_TRANSPORT_NST_2007,Tipo di merce (NST 2007),TITLE_OF_TRANSPORT,Titolo di trasporto,DISTANCE_CLASS,Classe di percorrenza,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITD1,Provincia Autonoma Bolzano / Bozen,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,18115837,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITD1,Provincia Autonoma Bolzano / Bozen,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,23874503,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITD2,Provincia Autonoma Trento,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,3457894,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITD2,Provincia Autonoma Trento,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,10825266,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITD2,Provincia Autonoma Trento,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,14283160,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITD3,Veneto,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,24668818,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITD3,Veneto,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,126929915,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITD3,Veneto,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,151598733,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITD4,Friuli-Venezia Giulia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,3014465,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITD4,Friuli-Venezia Giulia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,23434081,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITD4,Friuli-Venezia Giulia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,26448546,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITD5,Emilia-Romagna,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,10990839,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITD5,Emilia-Romagna,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,117527889,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITD5,Emilia-Romagna,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,128518728,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITE1,Toscana,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,6640571,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITE1,Toscana,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,53092653,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITE1,Toscana,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,59733224,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITE2,Umbria,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,1684246,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITE2,Umbria,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,13781083,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITE2,Umbria,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,15465329,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITE3,Marche,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,5523222,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITE3,Marche,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,18589590,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITE3,Marche,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,24112812,,
